Gamma,Lambda,Accuracy
1e-06,1e-06,15.107913669064748
1e-06,1.33e-06,15.107913669064748
1e-06,1.76e-06,16.906474820143885
1e-06,2.33e-06,16.18705035971223
1e-06,3.09e-06,20.503597122302157
1e-06,4.09e-06,19.424460431654676
1e-06,5.43e-06,14.028776978417264
1e-06,7.2e-06,28.776978417266186
1e-06,9.54e-06,25.179856115107913
1e-06,1.265e-05,34.172661870503596
1e-06,1.677e-05,43.52517985611511
1e-06,2.223e-05,49.64028776978417
1e-06,2.947e-05,56.4748201438849
1e-06,3.907e-05,52.51798561151079
1e-06,5.179e-05,57.194244604316545
1e-06,6.866e-05,63.66906474820144
1e-06,9.103e-05,53.956834532374096
1e-06,0.00012068,61.51079136690647
1e-06,0.00015999,62.589928057553955
1e-06,0.0002121,57.9136690647482
1e-06,0.00028118,61.15107913669065
1e-06,0.00037276,60.431654676258994
1e-06,0.00049417,58.27338129496403
1e-06,0.00065513,57.9136690647482
1e-06,0.00086851,58.63309352517986
1e-06,0.0011514,56.11510791366906
1e-06,0.00152642,57.55395683453237
1e-06,0.00202359,57.55395683453237
1e-06,0.0026827,54.67625899280576
1e-06,0.00355648,53.956834532374096
1e-06,0.00471487,52.87769784172662
1e-06,0.00625055,50.719424460431654
1e-06,0.00828643,48.92086330935252
1e-06,0.01098541,48.561151079136685
1e-06,0.01456348,46.76258992805755
1e-06,0.01930698,45.32374100719424
1e-06,0.02559548,43.52517985611511
1e-06,0.03393222,43.52517985611511
1e-06,0.04498433,42.44604316546763
1e-06,0.05963623,42.086330935251794
1e-06,0.07906043,41.36690647482014
1e-06,0.10481131,39.92805755395683
1e-06,0.13894955,39.92805755395683
1e-06,0.184207,38.1294964028777
1e-06,0.24420531,37.05035971223021
1e-06,0.32374575,36.330935251798564
1e-06,0.42919343,35.25179856115108
1e-06,0.5689866,35.25179856115108
1e-06,0.75431201,33.81294964028777
1e-06,1.0,33.45323741007194
1.33e-06,1e-06,16.906474820143885
1.33e-06,1.33e-06,14.748201438848922
1.33e-06,1.76e-06,16.18705035971223
1.33e-06,2.33e-06,16.906474820143885
1.33e-06,3.09e-06,19.424460431654676
1.33e-06,4.09e-06,16.546762589928058
1.33e-06,5.43e-06,19.424460431654676
1.33e-06,7.2e-06,19.784172661870503
1.33e-06,9.54e-06,33.81294964028777
1.33e-06,1.265e-05,34.172661870503596
1.33e-06,1.677e-05,48.92086330935252
1.33e-06,2.223e-05,57.194244604316545
1.33e-06,2.947e-05,55.39568345323741
1.33e-06,3.907e-05,56.11510791366906
1.33e-06,5.179e-05,63.30935251798561
1.33e-06,6.866e-05,59.71223021582733
1.33e-06,9.103e-05,64.02877697841727
1.33e-06,0.00012068,61.87050359712231
1.33e-06,0.00015999,63.66906474820144
1.33e-06,0.0002121,61.51079136690647
1.33e-06,0.00028118,62.589928057553955
1.33e-06,0.00037276,61.15107913669065
1.33e-06,0.00049417,58.992805755395686
1.33e-06,0.00065513,61.15107913669065
1.33e-06,0.00086851,60.79136690647482
1.33e-06,0.0011514,60.07194244604317
1.33e-06,0.00152642,57.194244604316545
1.33e-06,0.00202359,57.9136690647482
1.33e-06,0.0026827,57.194244604316545
1.33e-06,0.00355648,56.11510791366906
1.33e-06,0.00471487,55.03597122302158
1.33e-06,0.00625055,53.956834532374096
1.33e-06,0.00828643,51.798561151079134
1.33e-06,0.01098541,48.92086330935252
1.33e-06,0.01456348,48.201438848920866
1.33e-06,0.01930698,47.482014388489205
1.33e-06,0.02559548,45.32374100719424
1.33e-06,0.03393222,43.52517985611511
1.33e-06,0.04498433,42.805755395683455
1.33e-06,0.05963623,42.086330935251794
1.33e-06,0.07906043,42.086330935251794
1.33e-06,0.10481131,41.007194244604314
1.33e-06,0.13894955,39.568345323741006
1.33e-06,0.184207,39.20863309352518
1.33e-06,0.24420531,38.1294964028777
1.33e-06,0.32374575,37.410071942446045
1.33e-06,0.42919343,36.330935251798564
1.33e-06,0.5689866,35.25179856115108
1.33e-06,0.75431201,35.25179856115108
1.33e-06,1.0,34.172661870503596
1.76e-06,1e-06,15.107913669064748
1.76e-06,1.33e-06,16.906474820143885
1.76e-06,1.76e-06,19.424460431654676
1.76e-06,2.33e-06,14.748201438848922
1.76e-06,3.09e-06,17.26618705035971
1.76e-06,4.09e-06,15.107913669064748
1.76e-06,5.43e-06,15.467625899280577
1.76e-06,7.2e-06,37.05035971223021
1.76e-06,9.54e-06,42.44604316546763
1.76e-06,1.265e-05,47.84172661870504
1.76e-06,1.677e-05,52.87769784172662
1.76e-06,2.223e-05,57.9136690647482
1.76e-06,2.947e-05,60.07194244604317
1.76e-06,3.907e-05,55.03597122302158
1.76e-06,5.179e-05,65.46762589928058
1.76e-06,6.866e-05,61.87050359712231
1.76e-06,9.103e-05,64.02877697841727
1.76e-06,0.00012068,64.38848920863309
1.76e-06,0.00015999,62.589928057553955
1.76e-06,0.0002121,64.02877697841727
1.76e-06,0.00028118,62.94964028776978
1.76e-06,0.00037276,64.02877697841727
1.76e-06,0.00049417,61.15107913669065
1.76e-06,0.00065513,60.431654676258994
1.76e-06,0.00086851,62.23021582733813
1.76e-06,0.0011514,60.07194244604317
1.76e-06,0.00152642,60.07194244604317
1.76e-06,0.00202359,58.27338129496403
1.76e-06,0.0026827,57.55395683453237
1.76e-06,0.00355648,57.194244604316545
1.76e-06,0.00471487,56.11510791366906
1.76e-06,0.00625055,54.67625899280576
1.76e-06,0.00828643,53.956834532374096
1.76e-06,0.01098541,51.07913669064749
1.76e-06,0.01456348,49.280575539568346
1.76e-06,0.01930698,48.561151079136685
1.76e-06,0.02559548,47.482014388489205
1.76e-06,0.03393222,45.32374100719424
1.76e-06,0.04498433,43.16546762589928
1.76e-06,0.05963623,43.52517985611511
1.76e-06,0.07906043,42.086330935251794
1.76e-06,0.10481131,42.086330935251794
1.76e-06,0.13894955,41.007194244604314
1.76e-06,0.184207,39.20863309352518
1.76e-06,0.24420531,39.568345323741006
1.76e-06,0.32374575,38.1294964028777
1.76e-06,0.42919343,37.05035971223021
1.76e-06,0.5689866,36.330935251798564
1.76e-06,0.75431201,35.25179856115108
1.76e-06,1.0,34.89208633093525
2.33e-06,1e-06,16.546762589928058
2.33e-06,1.33e-06,17.985611510791365
2.33e-06,1.76e-06,19.06474820143885
2.33e-06,2.33e-06,18.345323741007196
2.33e-06,3.09e-06,15.827338129496402
2.33e-06,4.09e-06,14.388489208633093
2.33e-06,5.43e-06,16.546762589928058
2.33e-06,7.2e-06,38.489208633093526
2.33e-06,9.54e-06,38.84892086330935
