Gamma,Lambda,Accuracy
1e-06,1e-06,0.9057971014492754
1e-06,1.33e-06,94.38405797101449
1e-06,1.76e-06,96.55797101449275
1e-06,2.33e-06,97.10144927536231
1e-06,3.09e-06,97.64492753623189
1e-06,4.09e-06,98.0072463768116
1e-06,5.43e-06,97.82608695652173
1e-06,7.2e-06,98.55072463768117
1e-06,9.54e-06,98.55072463768117
1e-06,1.265e-05,99.09420289855072
1e-06,1.677e-05,98.91304347826086
1e-06,2.223e-05,98.91304347826086
1e-06,2.947e-05,99.27536231884058
1e-06,3.907e-05,99.45652173913044
1e-06,5.179e-05,99.45652173913044
1e-06,6.866e-05,99.63768115942028
1e-06,9.103e-05,99.63768115942028
1e-06,0.00012068,99.81884057971014
1e-06,0.00015999,99.81884057971014
1e-06,0.0002121,99.81884057971014
1e-06,0.00028118,99.81884057971014
1e-06,0.00037276,100.0
1e-06,0.00049417,100.0
1e-06,0.00065513,100.0
1e-06,0.00086851,100.0
1e-06,0.0011514,100.0
1e-06,0.00152642,100.0
1e-06,0.00202359,100.0
1e-06,0.0026827,100.0
1e-06,0.00355648,100.0
1e-06,0.00471487,100.0
1e-06,0.00625055,100.0
1e-06,0.00828643,100.0
1e-06,0.01098541,100.0
1e-06,0.01456348,100.0
1e-06,0.01930698,100.0
1e-06,0.02559548,100.0
1e-06,0.03393222,100.0
1e-06,0.04498433,100.0
1e-06,0.05963623,100.0
1e-06,0.07906043,100.0
1e-06,0.10481131,100.0
1e-06,0.13894955,100.0
1e-06,0.184207,100.0
1e-06,0.24420531,100.0
1e-06,0.32374575,100.0
1e-06,0.42919343,99.81884057971014
1e-06,0.5689866,99.81884057971014
1e-06,0.75431201,99.63768115942028
1e-06,1.0,99.63768115942028
1.33e-06,1e-06,96.73913043478261
1.33e-06,1.33e-06,96.92028985507247
1.33e-06,1.76e-06,97.10144927536231
1.33e-06,2.33e-06,97.46376811594203
1.33e-06,3.09e-06,98.18840579710145
1.33e-06,4.09e-06,98.18840579710145
1.33e-06,5.43e-06,98.18840579710145
1.33e-06,7.2e-06,98.36956521739131
1.33e-06,9.54e-06,98.36956521739131
1.33e-06,1.265e-05,98.55072463768117
1.33e-06,1.677e-05,98.73188405797102
1.33e-06,2.223e-05,99.09420289855072
1.33e-06,2.947e-05,99.27536231884058
1.33e-06,3.907e-05,99.45652173913044
1.33e-06,5.179e-05,99.45652173913044
1.33e-06,6.866e-05,99.45652173913044
1.33e-06,9.103e-05,99.63768115942028
