Gamma,Lambda,Accuracy
1e-06,1e-06,0.30193236714975846
1e-06,1.33e-06,0.18115942028985507
1e-06,1.76e-06,0.4227053140096618
1e-06,2.33e-06,0.5434782608695652
1e-06,3.09e-06,0.785024154589372
1e-06,4.09e-06,0.4830917874396135
1e-06,5.43e-06,0.4227053140096618
1e-06,7.2e-06,0.30193236714975846
1e-06,9.54e-06,0.4227053140096618
1e-06,1.265e-05,0.24154589371980675
1e-06,1.677e-05,0.6038647342995169
1e-06,2.223e-05,0.36231884057971014
1e-06,2.947e-05,97.04106280193237
1e-06,3.907e-05,98.18840579710145
1e-06,5.179e-05,98.85265700483092
1e-06,6.866e-05,98.61111111111111
1e-06,9.103e-05,98.79227053140096
1e-06,0.00012068,98.97342995169082
1e-06,0.00015999,99.09420289855072
1e-06,0.0002121,99.27536231884058
1e-06,0.00028118,99.33574879227052
1e-06,0.00037276,99.57729468599034
1e-06,0.00049417,99.57729468599034
1e-06,0.00065513,99.63768115942028
1e-06,0.00086851,99.69806763285024
1e-06,0.0011514,99.69806763285024
1e-06,0.00152642,99.81884057971014
1e-06,0.00202359,99.81884057971014
1e-06,0.0026827,99.81884057971014
1e-06,0.00355648,99.81884057971014
1e-06,0.00471487,99.81884057971014
1e-06,0.00625055,99.93961352657004
1e-06,0.00828643,99.93961352657004
1e-06,0.01098541,100.0
1e-06,0.01456348,100.0
1e-06,0.01930698,100.0
1e-06,0.02559548,99.93961352657004
1e-06,0.03393222,99.93961352657004
1e-06,0.04498433,99.8792270531401
1e-06,0.05963623,99.69806763285024
1e-06,0.07906043,99.39613526570048
1e-06,0.10481131,99.15458937198068
1e-06,0.13894955,98.67149758454107
1e-06,0.184207,97.76570048309179
1e-06,0.24420531,96.31642512077295
1e-06,0.32374575,94.26328502415458
1e-06,0.42919343,90.82125603864735
1e-06,0.5689866,86.23188405797102
1e-06,0.75431201,80.79710144927536
1e-06,1.0,72.76570048309179
1.33e-06,1e-06,0.30193236714975846
1.33e-06,1.33e-06,0.4227053140096618
1.33e-06,1.76e-06,0.4830917874396135
1.33e-06,2.33e-06,0.36231884057971014
1.33e-06,3.09e-06,0.4227053140096618
1.33e-06,4.09e-06,0.18115942028985507
1.33e-06,5.43e-06,0.18115942028985507
1.33e-06,7.2e-06,0.6642512077294686
1.33e-06,9.54e-06,0.4830917874396135
1.33e-06,1.265e-05,0.9057971014492754
1.33e-06,1.677e-05,0.6038647342995169
1.33e-06,2.223e-05,0.7246376811594203
1.33e-06,2.947e-05,98.18840579710145
1.33e-06,3.907e-05,98.49033816425121
1.33e-06,5.179e-05,98.73188405797102
1.33e-06,6.866e-05,98.85265700483092
1.33e-06,9.103e-05,98.97342995169082
1.33e-06,0.00012068,98.85265700483092
1.33e-06,0.00015999,99.15458937198068
1.33e-06,0.0002121,99.27536231884058
1.33e-06,0.00028118,99.27536231884058
1.33e-06,0.00037276,99.45652173913044
1.33e-06,0.00049417,99.57729468599034
1.33e-06,0.00065513,99.57729468599034
1.33e-06,0.00086851,99.57729468599034
1.33e-06,0.0011514,99.69806763285024
1.33e-06,0.00152642,99.7584541062802
1.33e-06,0.00202359,99.81884057971014
1.33e-06,0.0026827,99.81884057971014
1.33e-06,0.00355648,99.81884057971014
1.33e-06,0.00471487,99.81884057971014
1.33e-06,0.00625055,99.81884057971014
1.33e-06,0.00828643,99.93961352657004
1.33e-06,0.01098541,99.93961352657004
1.33e-06,0.01456348,100.0
1.33e-06,0.01930698,100.0
