Gamma,Lambda,Accuracy
1e-06,1e-06,0.6340579710144928
1e-06,1.33e-06,0.36231884057971014
1e-06,1.76e-06,0.36231884057971014
1e-06,2.33e-06,0.4528985507246377
1e-06,3.09e-06,0.4528985507246377
1e-06,4.09e-06,1.0869565217391304
1e-06,5.43e-06,0.36231884057971014
1e-06,7.2e-06,0.2717391304347826
1e-06,9.54e-06,0.7246376811594203
1e-06,1.265e-05,0.09057971014492754
1e-06,1.677e-05,1.4492753623188406
1e-06,2.223e-05,92.57246376811594
1e-06,2.947e-05,94.92753623188406
1e-06,3.907e-05,96.10507246376811
1e-06,5.179e-05,97.01086956521739
1e-06,6.866e-05,97.73550724637681
1e-06,9.103e-05,98.55072463768117
1e-06,0.00012068,99.0036231884058
1e-06,0.00015999,99.27536231884058
1e-06,0.0002121,99.72826086956522
1e-06,0.00028118,99.72826086956522
1e-06,0.00037276,99.72826086956522
1e-06,0.00049417,99.90942028985508
1e-06,0.00065513,99.90942028985508
1e-06,0.00086851,99.90942028985508
1e-06,0.0011514,99.90942028985508
1e-06,0.00152642,100.0
1e-06,0.00202359,100.0
1e-06,0.0026827,100.0
1e-06,0.00355648,100.0
1e-06,0.00471487,100.0
1e-06,0.00625055,100.0
1e-06,0.00828643,100.0
1e-06,0.01098541,100.0
1e-06,0.01456348,100.0
1e-06,0.01930698,100.0
1e-06,0.02559548,100.0
1e-06,0.03393222,100.0
1e-06,0.04498433,100.0
1e-06,0.05963623,100.0
1e-06,0.07906043,100.0
1e-06,0.10481131,100.0
1e-06,0.13894955,100.0
1e-06,0.184207,100.0
1e-06,0.24420531,100.0
1e-06,0.32374575,100.0
1e-06,0.42919343,100.0
1e-06,0.5689866,100.0
1e-06,0.75431201,100.0
1e-06,1.0,99.90942028985508
1.33e-06,1e-06,0.7246376811594203
1.33e-06,1.33e-06,0.6340579710144928
1.33e-06,1.76e-06,0.36231884057971014
1.33e-06,2.33e-06,0.6340579710144928
1.33e-06,3.09e-06,0.18115942028985507
1.33e-06,4.09e-06,0.36231884057971014
1.33e-06,5.43e-06,0.5434782608695652
1.33e-06,7.2e-06,0.4528985507246377
1.33e-06,9.54e-06,0.18115942028985507
1.33e-06,1.265e-05,0.6340579710144928
1.33e-06,1.677e-05,88.67753623188406
1.33e-06,2.223e-05,92.21014492753623
1.33e-06,2.947e-05,94.02173913043478
1.33e-06,3.907e-05,95.28985507246377
1.33e-06,5.179e-05,96.46739130434783
1.33e-06,6.866e-05,97.28260869565217
1.33e-06,9.103e-05,98.0072463768116
1.33e-06,0.00012068,98.6413043478261
1.33e-06,0.00015999,99.09420289855072
1.33e-06,0.0002121,99.45652173913044
1.33e-06,0.00028118,99.72826086956522
1.33e-06,0.00037276,99.72826086956522
1.33e-06,0.00049417,99.72826086956522
1.33e-06,0.00065513,99.90942028985508
1.33e-06,0.00086851,99.90942028985508
1.33e-06,0.0011514,99.90942028985508
1.33e-06,0.00152642,100.0
1.33e-06,0.00202359,100.0
1.33e-06,0.0026827,100.0
1.33e-06,0.00355648,100.0
1.33e-06,0.00471487,100.0
1.33e-06,0.00625055,100.0
1.33e-06,0.00828643,100.0
1.33e-06,0.01098541,100.0
1.33e-06,0.01456348,100.0
1.33e-06,0.01930698,100.0
1.33e-06,0.02559548,100.0
1.33e-06,0.03393222,100.0
1.33e-06,0.04498433,100.0
1.33e-06,0.05963623,100.0
1.33e-06,0.07906043,100.0
1.33e-06,0.10481131,100.0
1.33e-06,0.13894955,100.0
1.33e-06,0.184207,100.0
1.33e-06,0.24420531,100.0
1.33e-06,0.32374575,100.0
1.33e-06,0.42919343,100.0
1.33e-06,0.5689866,100.0
1.33e-06,0.75431201,100.0
1.33e-06,1.0,100.0
1.76e-06,1e-06,0.2717391304347826
1.76e-06,1.33e-06,0.4528985507246377
1.76e-06,1.76e-06,0.5434782608695652
1.76e-06,2.33e-06,0.18115942028985507
1.76e-06,3.09e-06,1.2681159420289856
