Gamma,Lambda,Accuracy
1e-06,1e-06,14.457831325301203
1e-06,1.33e-06,13.55421686746988
1e-06,1.76e-06,25.502008032128515
1e-06,2.33e-06,13.353413654618473
1e-06,3.09e-06,21.385542168674696
1e-06,4.09e-06,17.16867469879518
1e-06,5.43e-06,18.27309236947791
1e-06,7.2e-06,22.590361445783135
1e-06,9.54e-06,28.714859437751006
1e-06,1.265e-05,66.36546184738957
1e-06,1.677e-05,73.79518072289156
1e-06,2.223e-05,79.81927710843374
1e-06,2.947e-05,82.429718875502
1e-06,3.907e-05,83.23293172690764
1e-06,5.179e-05,85.7429718875502
1e-06,6.866e-05,82.53012048192771
1e-06,9.103e-05,84.43775100401606
1e-06,0.00012068,85.4417670682731
1e-06,0.00015999,84.53815261044177
1e-06,0.0002121,84.23694779116467
1e-06,0.00028118,84.83935742971887
1e-06,0.00037276,83.73493975903614
1e-06,0.00049417,82.73092369477911
1e-06,0.00065513,82.53012048192771
1e-06,0.00086851,82.1285140562249
1e-06,0.0011514,81.02409638554217
1e-06,0.00152642,79.51807228915662
1e-06,0.00202359,78.21285140562249
1e-06,0.0026827,78.21285140562249
1e-06,0.00355648,76.20481927710844
1e-06,0.00471487,74.3975903614458
1e-06,0.00625055,72.48995983935743
1e-06,0.00828643,71.3855421686747
1e-06,0.01098541,70.08032128514057
1e-06,0.01456348,68.67469879518072
1e-06,0.01930698,67.06827309236948
1e-06,0.02559548,65.66265060240963
1e-06,0.03393222,64.45783132530121
1e-06,0.04498433,63.35341365461847
1e-06,0.05963623,61.64658634538153
1e-06,0.07906043,60.14056224899599
1e-06,0.10481131,58.734939759036145
1e-06,0.13894955,57.22891566265061
1e-06,0.184207,55.321285140562246
1e-06,0.24420531,53.6144578313253
1e-06,0.32374575,52.108433734939766
1e-06,0.42919343,51.104417670682736
1e-06,0.5689866,50.0
1e-06,0.75431201,48.795180722891565
1e-06,1.0,48.493975903614455
1.33e-06,1e-06,19.67871485943775
1.33e-06,1.33e-06,15.963855421686745
1.33e-06,1.76e-06,21.78714859437751
1.33e-06,2.33e-06,19.979919678714857
1.33e-06,3.09e-06,15.66265060240964
1.33e-06,4.09e-06,19.27710843373494
1.33e-06,5.43e-06,13.755020080321284
1.33e-06,7.2e-06,24.096385542168676
1.33e-06,9.54e-06,67.3694779116466
1.33e-06,1.265e-05,78.5140562248996
1.33e-06,1.677e-05,81.52610441767068
1.33e-06,2.223e-05,85.4417670682731
1.33e-06,2.947e-05,85.8433734939759
1.33e-06,3.907e-05,83.73493975903614
1.33e-06,5.179e-05,87.65060240963855
1.33e-06,6.866e-05,86.24497991967871
1.33e-06,9.103e-05,86.44578313253012
